Gtm,Date,Opp,Opp,Type,Rslt,Tm,Opp,Opp,OT,FG,FG,FGA,FGA,FG%,FG%,3P,3P,3PA,3PA,3P%,3P%,2P,2P,2PA,2PA,2P%,2P%,eFG%,eFG%,FT,FT,FTA,FTA,FT%,FT%,ORB,ORB,DRB,DRB,TRB,TRB,AST,AST,STL,STL,BLK,BLK,TOV,TOV,PF,PF
13,2022-01-03,Purdue,69,REG (Conf),W,74,Purdue,69,,27,23,60,56,.450,.411,6,8,24,20,.250,.400,21,15,36,36,.583,.417,.500,.482,14,15,19,24,.737,.625,8,10,24,24,32,34,13,19,5,2,2,0,7,12,22,17
14,2022-01-06,Iowa,78,REG (Conf),W,87,Iowa,78,,33,30,66,61,.500,.492,5,7,17,20,.294,.350,28,23,49,41,.571,.561,.538,.549,16,11,23,19,.696,.579,11,6,27,19,38,25,15,19,6,4,1,7,7,8,20,22
15,2022-01-09,Maryland,69,REG (Conf),W,70,Maryland,69,,25,25,56,55,.446,.455,5,7,20,17,.250,.412,20,18,36,38,.556,.474,.491,.518,15,12,18,15,.833,.800,4,2,24,27,28,29,11,10,4,4,5,3,7,10,19,19
16,2022-01-13,Ohio State,68,REG (Conf),W,78,Ohio State,68,,27,30,58,60,.466,.500,10,3,23,19,.435,.158,17,27,35,41,.486,.659,.552,.525,14,5,20,10,.700,.500,6,6,23,24,29,30,16,7,6,3,0,3,9,11,14,20
17,2022-01-18,Northwestern,76,REG (Conf),W,82,Northwestern,76,,28,33,54,71,.519,.465,9,7,17,20,.529,.350,19,26,37,51,.514,.510,.602,.514,17,3,26,8,.654,.375,7,10,28,21,35,31,17,19,4,6,2,4,11,8,13,18
18,2022-01-21,Michigan State,86,REG (Conf),L,74,Michigan State,86,,26,29,61,55,.426,.527,12,6,29,12,.414,.500,14,23,32,43,.438,.535,.525,.582,10,22,11,28,.909,.786,5,11,12,28,17,39,15,14,5,4,1,4,10,13,18,19
19,2022-01-27,Nebraska,65,REG (Conf),W,73,Nebraska,65,,25,22,68,55,.368,.400,10,7,22,20,.455,.350,15,15,46,35,.326,.429,.441,.464,13,14,18,17,.722,.824,12,1,32,31,44,32,12,10,7,5,2,2,10,13,18,16
20,2022-01-30,Minnesota,60,REG (Conf),W,66,Minnesota,60,,24,23,57,53,.421,.434,6,6,19,18,.316,.333,18,17,38,35,.474,.486,.474,.491,12,8,15,9,.800,.889,7,4,24,25,31,29,8,4,3,4,0,2,7,11,15,17
21,2022-02-02,Illinois,80,REG (Conf),L,67,Illinois,80,,26,32,68,62,.382,.516,3,7,24,22,.125,.318,23,25,44,40,.523,.625,.404,.573,12,9,15,18,.800,.500,12,7,26,28,38,35,8,21,3,5,0,2,6,6,19,14
22,2022-02-05,Penn State,49,REG (Conf),W,51,Penn State,49,,21,18,56,57,.375,.316,6,9,21,30,.286,.300,15,9,35,27,.429,.333,.429,.395,3,4,6,5,.500,.800,5,6,31,27,36,33,10,7,3,7,4,3,8,10,13,14
23,2022-02-08,Michigan State,62,REG (Conf),W,70,Michigan State,62,,25,22,53,53,.472,.415,6,3,18,14,.333,.214,19,19,35,39,.543,.487,.528,.443,14,15,22,18,.636,.833,4,5,25,23,29,28,12,15,6,5,3,1,7,12,17,20
24,2022-02-12,Rutgers,73,REG (Conf),L,65,Rutgers,73,,26,25,55,49,.473,.510,4,7,19,12,.211,.583,22,18,36,37,.611,.486,.509,.582,9,16,17,18,.529,.889,7,4,20,25,27,29,13,11,8,10,0,3,11,13,18,20
25,2022-02-15,Indiana,69,REG (Conf),W,74,Indiana,69,,24,25,52,61,.462,.410,4,5,16,18,.250,.278,20,20,36,43,.556,.465,.500,.451,22,14,29,18,.759,.778,6,7,28,22,34,29,8,14,4,3,2,4,13,12,16,25
26,2022-02-20,Michigan,63,REG (Conf),W,77,Michigan,63,,29,25,58,64,.500,.391,4,4,13,25,.308,.160,25,21,45,39,.556,.538,.534,.422,15,9,16,13,.938,.692,4,12,23,24,27,36,7,11,7,5,5,2,8,11,16,19
27,2022-02-23,Minnesota,67,REG (Conf),W,68,Minnesota,67,,24,23,47,50,.511,.460,5,8,14,19,.357,.421,19,15,33,31,.576,.484,.564,.540,15,13,22,19,.682,.684,10,3,28,15,38,18,15,18,2,4,2,3,12,5,18,20
28,2022-02-26,Rutgers,61,REG (Conf),W,66,Rutgers,61,,23,24,54,53,.426,.453,9,4,20,17,.450,.235,14,20,34,36,.412,.556,.509,.491,11,9,17,15,.647,.600,6,4,24,27,30,31,9,6,8,6,1,5,9,12,17,17
29,2022-03-01,Purdue,67,REG (Conf),W,70,Purdue,67,,26,24,61,56,.426,.429,7,8,22,21,.318,.381,19,16,39,35,.487,.457,.484,.500,11,11,12,20,.917,.550,7,8,23,26,30,34,9,10,6,4,4,1,6,10,17,16
30,2022-03-06,Nebraska,74,REG (Conf),L,73,Nebraska,74,,24,29,60,54,.400,.537,5,5,23,18,.217,.278,19,24,37,36,.514,.667,.442,.583,20,11,25,14,.800,.786,11,5,20,19,31,24,9,8,7,6,4,2,9,10,16,19
Gtm,Date,Opp,Opp,Type,Rslt,Tm,Opp,Opp,OT,FG,FG,FGA,FGA,FG%,FG%,3P,3P,3PA,3PA,3P%,3P%,2P,2P,2PA,2PA,2P%,2P%,eFG%,eFG%,FT,FT,FTA,FTA,FT%,FT%,ORB,ORB,DRB,DRB,TRB,TRB,AST,AST,STL,STL,BLK,BLK,TOV,TOV,PF,PF
31,2022-03-11,Michigan State,69,CTOURN,L,63,Michigan State,69,,22,25,60,52,.367,.481,7,1,24,11,.292,.091,15,24,36,41,.417,.585,.425,.490,12,18,21,24,.571,.750,6,5,22,32,28,37,13,11,4,4,2,7,7,7,22,19
Gtm,Date,Opp,Opp,Type,Rslt,Tm,Opp,Opp,OT,FG,FG,FGA,FGA,FG%,FG%,3P,3P,3PA,3PA,3P%,3P%,2P,2P,2PA,2PA,2P%,2P%,eFG%,eFG%,FT,FT,FTA,FTA,FT%,FT%,ORB,ORB,DRB,DRB,TRB,TRB,AST,AST,STL,STL,BLK,BLK,TOV,TOV,PF,PF
32,2022-03-18,Colgate,60,ROUND-64,W,67,Colgate,60,,26,22,62,57,.419,.386,6,10,17,22,.353,.455,20,12,45,35,.444,.343,.468,.474,9,6,12,7,.750,.857,11,9,24,24,35,33,15,14,5,2,3,1,5,10,10,13
33,2022-03-20,Iowa State,54,ROUND-32,L,49,Iowa State,54,,14,20,47,58,.298,.345,2,3,22,14,.091,.214,12,17,25,44,.480,.386,.319,.371,19,11,25,16,.760,.688,6,7,27,25,33,32,7,12,6,9,7,3,16,13,18,25
,,,2177,,25-8,2308,,2177,,815,813,1931,1870,.422,.435,213,204,696,628,.306,.325,602,609,1235,1242,.487,.490,.477,.489,465,347,626,508,.743,.683,263,226,803,824,1066,1050,365,381,175,155,97,109,282,361,554,624
