Gtm,Date,Opp,Opp.1,Type,Rslt,Tm,Opp.2,Opp.3,OT,FG,FG.1,FGA,FGA.1,FG%,FG%.1,3P,3P.1,3PA,3PA.1,3P%,3P%.1,2P,2P.1,2PA,2PA.1,2P%,2P%.1,eFG%,eFG%.1,FT,FT.1,FTA,FTA.1,FT%,FT%.1,ORB,ORB.1,DRB,DRB.1,TRB,TRB.1,AST,AST.1,STL,STL.1,BLK,BLK.1,TOV,TOV.1,PF,PF.1,seasonYear
32,2022-03-18,Colgate,60,ROUND-64,W,67,Colgate,60,,26,22,62,57,.419,.386,6,10,17,22,.353,.455,20,12,45,35,.444,.343,.468,.474,9,6,12,7,.750,.857,11,9,24,24,35,33,15,14,5,2,3,1,5,10,10,13,2022
33,2022-03-20,Iowa State,54,ROUND-32,L,49,Iowa State,54,,14,20,47,58,.298,.345,2,3,22,14,.091,.214,12,17,25,44,.480,.386,.319,.371,19,11,25,16,.760,.688,6,7,27,25,33,32,7,12,6,9,7,3,16,13,18,25,2022
34,,,2177,,25-8,2308,,2177,,815,813,1931,1870,.422,.435,213,204,696,628,.306,.325,602,609,1235,1242,.487,.490,.477,.489,465,347,626,508,.743,.683,263,226,803,824,1066,1050,365,381,175,155,97,109,282,361,554,624,2022
1,2022-11-07,South Dakota,59,REG (Non-Conf),W,85,South Dakota,59,,28,23,55,57,.509,.404,12,2,26,15,.462,.133,16,21,29,42,.552,.500,.618,.421,17,11,23,17,.739,.647,6,6,30,25,36,31,14,7,8,5,4,2,10,10,15,20,2023
2,2022-11-11,Stanford,50,REG (Non-Conf),W,60,Stanford,50,,22,17,59,47,.373,.362,5,1,20,16,.250,.063,17,16,39,31,.436,.516,.415,.372,11,15,18,23,.611,.652,7,6,21,28,28,34,9,6,11,5,4,9,8,16,20,20,2023
3,2022-11-15,Green Bay,45,REG (Non-Conf),W,56,Green Bay,45,,16,15,53,44,.302,.341,8,2,19,14,.421,.143,8,13,34,30,.235,.433,.377,.364,16,13,19,23,.842,.565,14,2,28,21,42,23,8,6,6,9,2,2,14,9,18,18,2023
4,2022-11-23,Dayton,42,REG (Non-Conf),W,43,Dayton,42,,14,16,59,53,.237,.302,6,4,27,27,.222,.148,8,12,32,26,.250,.462,.288,.340,9,6,10,9,.900,.667,9,8,26,32,35,40,7,6,8,4,1,4,10,15,17,13,2023
5,2022-11-24,Kansas,69,REG (Non-Conf),L,68,Kansas,69,OT,24,24,62,62,.387,.387,6,9,19,29,.316,.310,18,15,43,33,.419,.455,.435,.460,14,12,19,21,.737,.571,6,12,28,31,34,43,10,15,8,5,1,2,6,13,19,18,2023
6,2022-11-25,Southern California,59,REG (Non-Conf),W,64,Southern California,59,,25,23,56,56,.446,.411,10,11,24,23,.417,.478,15,12,32,33,.469,.364,.536,.509,4,2,8,6,.500,.333,4,8,24,25,28,33,13,12,6,2,1,5,7,13,7,14,2023
7,2022-11-29,Wake Forest,78,REG (Non-Conf),L,75,Wake Forest,78,,24,29,56,54,.429,.537,12,8,28,24,.429,.333,12,21,28,30,.429,.700,.536,.611,15,12,18,16,.833,.750,6,8,16,22,22,30,14,8,7,3,1,2,11,15,18,20,2023
8,2022-12-03,Marquette,77,REG (Non-Conf),W,80,Marquette,77,OT,30,27,59,53,.508,.509,12,9,27,20,.444,.450,18,18,32,33,.563,.545,.610,.594,8,14,13,20,.615,.700,8,7,22,18,30,25,21,14,9,10,1,1,13,12,20,16,2023
9,2022-12-06,Maryland,59,REG (Conf),W,64,Maryland,59,,20,21,47,55,.426,.382,7,10,21,24,.333,.417,13,11,26,31,.500,.355,.500,.473,17,7,27,12,.630,.583,1,8,27,29,28,37,14,9,7,4,3,6,8,14,18,20,2023
10,2022-12-11,Iowa,75,REG (Conf),W,78,Iowa,75,OT,33,27,65,64,.508,.422,6,7,22,27,.273,.259,27,20,43,37,.628,.541,.554,.477,6,14,11,17,.545,.824,4,9,29,31,33,40,17,18,12,8,1,2,11,15,18,16,2023
11,2022-12-15,Lehigh,56,REG (Non-Conf),W,78,Lehigh,56,,31,25,60,51,.517,.490,11,4,21,14,.524,.286,20,21,39,37,.513,.568,.608,.529,5,2,8,2,.625,1.000,10,3,22,17,32,20,16,9,6,6,1,3,9,13,6,11,2023
12,2022-12-23,Grambling State,,REG (Non-Conf),,,Grambling State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
13,2022-12-30,Western Michigan,66,REG (Non-Conf),W,76,Western Michigan,66,,28,26,54,57,.519,.456,12,12,27,29,.444,.414,16,14,27,28,.593,.500,.630,.561,8,2,13,5,.615,.400,6,8,19,22,25,30,16,12,2,2,2,1,4,4,11,15,2023
14,2023-01-03,Minnesota,60,REG (Conf),W,63,Minnesota,60,,24,24,55,55,.436,.436,8,5,20,14,.400,.357,16,19,35,41,.457,.463,.509,.482,7,7,9,11,.778,.636,2,9,22,28,24,37,9,7,13,5,2,2,8,20,15,10,2023
15,2023-01-07,Illinois,79,REG (Conf),L,69,Illinois,79,,28,25,64,53,.438,.472,8,10,29,19,.276,.526,20,15,35,34,.571,.441,.500,.566,5,19,12,26,.417,.731,10,7,24,30,34,37,12,14,6,5,2,6,9,10,21,14,2023
16,2023-01-10,Michigan State,69,REG (Conf),L,65,Michigan State,69,,25,23,55,44,.455,.523,9,7,23,13,.391,.538,16,16,32,31,.500,.516,.536,.602,6,16,8,17,.750,.941,3,3,15,29,18,32,9,10,6,3,1,3,5,13,18,12,2023
17,2023-01-14,Indiana,63,REG (Conf),L,45,Indiana,63,,18,29,56,62,.321,.468,5,1,24,8,.208,.125,13,28,32,54,.406,.519,.366,.476,4,4,11,5,.364,.800,7,8,23,32,30,40,6,10,4,4,0,6,8,8,11,16,2023
18,2023-01-17,Penn State,60,REG (Conf),W,63,Penn State,60,,23,22,54,49,.426,.449,7,8,17,20,.412,.400,16,14,37,29,.432,.483,.491,.531,10,8,16,11,.625,.727,5,4,23,27,28,31,8,10,3,3,2,5,5,10,13,21,2023
19,2023-01-23,Northwestern,66,REG (Conf),L,63,Northwestern,66,,22,22,57,51,.386,.431,10,6,31,16,.323,.375,12,16,26,35,.462,.457,.474,.490,9,16,16,18,.563,.889,8,7,21,24,29,31,16,9,3,3,1,1,5,5,19,22,2023
20,2023-01-25,Maryland,73,REG (Conf),L,55,Maryland,73,,21,28,53,50,.396,.560,7,6,17,14,.412,.429,14,22,36,36,.389,.611,.462,.620,6,11,7,14,.857,.786,4,7,14,24,18,31,11,15,2,5,2,5,7,8,14,10,2023
21,2023-01-28,Illinois,61,REG (Conf),L,51,Illinois,61,,19,22,57,51,.333,.431,9,6,27,20,.333,.300,10,16,30,31,.333,.516,.412,.490,4,11,7,18,.571,.611,5,6,25,28,30,34,9,7,6,2,0,5,9,11,18,14,2023
22,2023-02-02,Ohio State,60,REG (Conf),W,65,Ohio State,60,,23,24,55,56,.418,.429,6,4,20,14,.300,.286,17,20,35,42,.486,.476,.473,.464,13,8,22,13,.591,.615,4,9,20,32,24,41,9,9,8,5,0,3,7,16,15,20,2023
23,2023-02-05,Northwestern,54,REG (Conf),L,52,Northwestern,54,,19,21,50,45,.380,.467,9,4,23,15,.391,.267,10,17,27,30,.370,.567,.470,.511,5,8,11,13,.455,.615,6,6,17,27,23,33,13,11,6,5,1,5,8,9,14,14,2023
24,2023-02-08,Penn State,74,REG (Conf),W,79,Penn State,74,OT,28,29,53,59,.528,.492,11,9,24,23,.458,.391,17,20,29,36,.586,.556,.632,.568,12,7,19,11,.632,.636,3,6,23,23,26,29,16,13,5,5,2,1,8,10,16,21,2023
25,2023-02-11,Nebraska,73,REG (Conf),L,63,Nebraska,73,OT,25,25,69,54,.362,.463,9,8,31,22,.290,.364,16,17,38,32,.421,.531,.428,.537,4,15,6,23,.667,.652,7,8,27,34,34,42,11,8,7,8,2,3,10,15,23,13,2023
26,2023-02-14,Michigan,59,REG (Conf),W,64,Michigan,59,,22,24,66,57,.333,.421,6,5,18,16,.333,.313,16,19,48,41,.333,.463,.379,.465,14,6,18,10,.778,.600,14,8,22,29,36,37,10,7,3,2,0,5,4,11,14,15,2023
27,2023-02-18,Rutgers,58,REG (Conf),L,57,Rutgers,58,,19,23,57,52,.333,.442,12,7,36,17,.333,.412,7,16,21,35,.333,.457,.439,.510,7,5,9,5,.778,1.000,8,3,23,26,31,29,16,14,4,2,0,4,5,8,13,10,2023
28,2023-02-22,Iowa,52,REG (Conf),W,64,Iowa,52,,25,20,48,62,.521,.323,4,3,18,28,.222,.107,21,17,30,34,.700,.500,.563,.347,10,9,18,13,.556,.692,7,12,29,15,36,27,11,8,1,3,0,2,10,6,12,19,2023
29,2023-02-26,Michigan,87,REG (Conf),L,79,Michigan,87,OT,30,29,70,59,.429,.492,8,7,23,21,.348,.333,22,22,47,38,.468,.579,.486,.551,11,22,12,26,.917,.846,6,5,23,30,29,35,10,7,5,4,4,6,8,12,19,17,2023
30,2023-03-02,Purdue,63,REG (Conf),L,61,Purdue,63,,23,24,58,48,.397,.500,10,4,24,19,.417,.211,13,20,34,29,.382,.690,.483,.542,5,11,5,18,1.000,.611,6,10,15,26,21,36,8,11,5,3,0,1,6,10,17,11,2023
31,2023-03-05,Minnesota,67,REG (Conf),W,71,Minnesota,67,,27,25,55,48,.491,.521,3,6,12,18,.250,.333,24,19,43,30,.558,.633,.518,.583,14,11,17,19,.824,.579,8,4,21,18,29,22,10,18,4,5,2,4,8,11,19,20,2023
32,2023-03-08,Ohio State,65,CTOURN,L,57,Ohio State,65,,21,23,61,44,.344,.523,4,6,22,13,.182,.462,17,17,39,31,.436,.548,.377,.591,11,13,18,20,.611,.650,12,6,17,27,29,33,8,8,8,8,2,3,10,16,18,18,2023
33,2023-03-14,Bradley,62,NIT,W,81,Bradley,62,,25,25,58,61,.431,.410,8,5,25,23,.320,.217,17,20,33,38,.515,.526,.500,.451,23,7,28,14,.821,.500,5,8,29,27,34,35,13,9,5,1,5,2,3,11,16,20,2023
34,2023-03-19,Liberty,71,NIT,W,75,Liberty,71,,27,26,50,55,.540,.473,1,8,15,27,.067,.296,26,18,35,28,.743,.643,.550,.545,20,11,24,17,.833,.647,3,5,25,20,28,25,5,11,2,0,1,4,7,7,15,23,2023
35,2023-03-21,Oregon,58,NIT,W,61,Oregon,58,,21,24,63,55,.333,.436,7,6,22,21,.318,.286,14,18,41,34,.341,.529,.389,.491,12,4,13,12,.923,.333,12,6,27,29,39,35,15,12,6,5,1,8,8,9,14,15,2023
36,2023-03-28,North Texas,56,NIT,L,54,North Texas,56,,21,21,56,48,.375,.438,8,7,25,23,.320,.304,13,14,31,25,.419,.560,.446,.510,4,7,8,10,.500,.700,9,5,22,23,31,28,12,8,5,9,0,2,12,10,13,13,2023
37,,,2225,,20-15,2284,,2225,,831,831,2005,1871,.414,.444,276,217,807,686,.342,.316,555,614,1198,1185,.463,.518,.483,.502,346,346,501,515,.691,.672,235,237,799,909,1034,1146,406,358,207,158,52,125,281,395,554,569,2023
1,2020-11-25,Eastern Illinois,67,REG (Non-Conf),W,77,Eastern Illinois,67,,24,23,57,66,.421,.348,7,6,23,19,.304,.316,17,17,34,47,.500,.362,.482,.394,22,15,29,15,.759,1.000,7,10,28,25,35,35,16,8,6,4,10,4,7,10,15,20,2021
2,2020-11-27,Arkansas–Pine Bluff,58,REG (Non-Conf),W,92,Arkansas–Pine Bluff,58,,31,18,59,53,.525,.340,10,6,19,14,.526,.429,21,12,40,39,.525,.308,.610,.396,20,16,27,21,.741,.762,6,6,29,22,35,28,17,7,9,3,7,2,7,15,19,19,2021
3,2020-12-01,Green Bay,42,REG (Non-Conf),W,82,Green Bay,42,,34,16,61,57,.557,.281,9,3,20,17,.450,.176,25,13,41,40,.610,.325,.631,.307,5,7,6,13,.833,.538,9,4,36,18,45,22,18,5,4,3,7,2,10,10,15,10,2021
4,2020-12-04,Marquette,67,REG (Non-Conf),L,65,Marquette,67,,21,21,56,49,.375,.429,7,5,24,14,.292,.357,14,16,32,35,.438,.457,.438,.480,16,20,19,28,.842,.714,10,8,21,25,31,33,11,10,5,7,4,2,10,9,22,17,2021
5,2020-12-09,Rhode Island,62,REG (Non-Conf),W,73,Rhode Island,62,,20,22,52,51,.385,.431,7,3,22,13,.318,.231,13,19,30,38,.433,.500,.452,.461,26,15,36,25,.722,.600,7,4,23,28,30,32,9,4,5,5,5,5,9,14,22,26,2021
6,2020-12-15,Loyola Chicago,63,REG (Non-Conf),W,77,Loyola Chicago,63,,25,21,57,54,.439,.389,10,9,18,26,.556,.346,15,12,39,28,.385,.429,.526,.472,17,12,23,17,.739,.706,5,6,26,24,31,30,11,15,4,3,3,2,4,14,16,24,2021
7,2020-12-19,Louisville,48,REG (Non-Conf),W,85,Louisville,48,,31,17,57,47,.544,.362,16,5,25,14,.640,.357,15,12,32,33,.469,.364,.684,.415,7,9,11,12,.636,.750,6,5,22,20,28,25,22,8,9,4,3,2,9,18,15,18,2021
8,2020-12-22,Nebraska,53,REG (Conf),W,67,Nebraska,53,,22,18,55,54,.400,.333,8,8,26,27,.308,.296,14,10,29,27,.483,.370,.473,.407,15,9,15,17,1.000,.529,5,5,34,23,39,28,14,12,0,6,1,6,11,9,12,15,2021
